,s.no,projects,description,previous_status,status,otc,ntl_cost,profit,margin,salesperson/lead_generation,msd_team
0,1,MerfISB,Enterprise Network Solution,Approval in Process,Approval in Process,12,5,7,140.0,Haroon,Syed Sibtul Hassan
1,2,CDA Facilitation Centre,Managed Surveillance Solution,Approval in Process,Approval in Process,23,6,17,283.33,Atisam,Syed Sibtul Hassan
2,3,Hanifrajput,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Project Cancelled),24,8,16,200.0,Mubashir Hanif,Ahmed Rafiq
3,4,Drhumayung8 & Drhumayunf6,Enterprise Network Solution,Approval in Process,Work in progress,25,10,15,150.0,Asghar Niazi,Syed Sibtul Hassan
4,5,Google Event,Enterprise Rental Solution,Approval in Process,Halted (Budget issue - Project Cancelled),31,12,20,169.57,Waqas Malik,Syed Sibtul Hassan
5,6,HITECH Medical College,Enterprise Network Solution,,Halted (Budget issue - Project Cancelled),35,13,22,165.15,Moeez Ahmed,Syed Umair Ali
6,7,aandscorp,Enterprise Network Solution,,Completed,39,15,24,161.74,Roa Usama,Habib Ur Rehman
7,8,HashTag Pak-China Event,Enterprise Rental Solution,,Halted (Budget issue - Project Cancelled),43,17,26,159.04,Zain Humayun,Syed Sibtul Hassan
8,9,GMS,Enterprise Network Solution,,Approval in Process,47,18,29,156.83,Mubashir Hanif,Syed Sibtul Hassan
9,10,Abbasyn University CCTV,Enterprise Surveillance Solution,,BOQ in Progress,51,20,31,155.0,Irfan Khan,Syed Sibtul Hassan
10,11,E-Conception,Enterprise Network Solution,,BOQ in Progress,55,22,33,153.46,Mubashir Hanif,Syed Sibtul Hassan
11,12,Shah Allah Ditta St 1 CCTV,Enterprise Surveillance Solution,,BOQ in Progress,59,23,36,152.14,Faheem GM Tx,Syed Sibtul Hassan
12,13,POF Hospital,Enterprise Network Solution,Approval in Process,Approval in Process,63,25,38,151.0,Moueez Ahmed,Hammad Rafiq
13,14,Bahria Spring north Phase 7,CCTV Surveillance Solution,Approval in Process,Halted (Budget issue - Project Cancelled),67,27,40,150.0,Moueez,Muhammad Aqdas Basharat
14,15,Hayatabad Medical Complex Peshawar,Enterprise Network Solution,Approval in Process,Halted (Project Cancelled),71,29,43,149.12,Omar Tawab,Muhammad Aqdas Basharat
15,16,WIFI MESH for FPCDLRWP,Enterprise Network Solution,Approval in Process,Approval in Process,75,30,45,148.34,Niazi,Bilal Jafery
16,17,USEFP,Enterprise Network Solution,Approval in Process,Approval in Process,79,32,47,147.65,Haroon,Hammad Rafiq
17,18,dopasifoundation57,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Project Cancelled),83,34,49,147.02,Qaisar Mahmood,Aqdas Basharat
18,19,Centaurus Video Conferencing,Enterprise Video Conferencing Solution,Approval in Process,Approval in Process,87,35,52,146.46,Zain Humayun,Muhammad Aqdas Basharat
19,20,E-11 Call Center,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Switched to STD Solution),91,37,54,145.95,Waqas Malik,Muhammad Aqdas Basharat
20,21,Volta F8,Nwatch and Voice solution,Approval in Process,Approval in Process,95,39,56,145.48,Haroon Ashraf,Rehan Rauf
21,22,Bilquis College WIFI Requirement,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Switched to STD Solution),99,40,59,145.05,Rao Usama,Bilal Jafery
22,23,SDPI Pak China (Rental),Enterprise Network Solution,Approval in Process,Completed,103,42,61,144.66,Haroon Ashraf,Bilal Jafery
23,24,Tkxel Firewall Requirement,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Switched to other vendor),107,44,63,144.29,,Bilal Jafery
24,25,Chenab Club FSD,Enterprise Network Solution,Approval in Process (Pending at Customer End),Approval in Process (Pending at Customer End),111,46,66,143.96,Munawar Jamal,Rehan Rauf
25,26,NSHS,Enterprise Network Solution,Approval in Process (Pending at Customer End),Approval in Process (Pending at Customer End),115,47,68,143.64,Niazi,Hammad Rafiq
26,27,IB,Firewall renewal requirement,Approval in process (Pending at Customer End),Work in progress,119,49,70,143.35,Shoaib Zafar,Hammad Rafiq
27,28,Weatherford,Enterprise Network Solution (Cisco),Approval in Process (Pending at Customer End),Approval in Process (Pending at Customer End),123,51,72,143.08,Rao Usama,Bilal Jafery
