Sr. No.,Projects,Description,Previous Status,Status,Status change Date,OTC,NTL Cost,Profit,Margin,Salesperson/Lead Generation,MSD Team
1,J7 Emporium phase 2,Enterprise Network Solution,N/A,BOQ in Progress,25-Feb-24, - , - , - ,-%,Asghar khan Niazi,Hammad Rafiq
2,TEOPAK,Enterprise Network Solution,N/A,BOQ in Progress,25-Feb-24, - , - , - ,-%,-,-
3,Bestwestern Additional requirement,Enterprise Network Solution,Work in Progress,Work in Progress,20-Dec-23," PKR 2,052,450.00 "," PKR 1,368,300.00 "," PKR 684,150.00 ",50.00%,Waqas Malik,Muhammad Aqdas Basharat
4,Bestwestern Bahria Town,Enterprise Network Solution,Work in Progress,Work in Progress,20-Dec-23," PKR 12,000,000.00 "," PKR 9,818,365.00 "," PKR 2,181,635.00 ",22.22%,Waqas Malik,Hammad Rafiq
5,Judicial Colony,CCTV Surveillance Solution,N/A,Work in Progress,15-Jan-24," PKR 407,905.00 "," PKR 407,905.00 ", PKR -   ,0,Adnan Jamil,Bilal Jaffery
6,Nust Bhittai Mess 3,Enterprise Wireless Solution,Work in Progress,Completed,10-Jan-24," PKR 6,130,025.00 "," PKR 4,609,964.00 "," PKR 1,520,061.00 ",32.97%,Asghar Khan Niazi,Hammad Rafiq
7,Nust Bhittai Mess 3 (passive network),Enterprise Wireless Solution,Work in Progress,Completed,24-Jan-24," PKR 1,676,655.00 "," PKR 1,457,960.00 "," PKR 218,695.00 ",15.00%,Asghar Khan Niazi,Hammad Rafiq
8,SmartIS,Enterprise Network Solution,Work in Progress,Completed,16-Jan-24," PKR 1,534,455.00 "," PKR 1,104,700.00 "," PKR 429,755.00 ",38.90%,Moueez khan,Hammad Rafiq
9,Maidaan Marketing,Enterprise Network Solution,Work in Progress,Completed,17-Jan-24," PKR 273,500.00 "," PKR 189,500.00 "," PKR 84,000.00 ",44.33%,Zain Humayun,Bilal Jaffery
10,Telenor GSS Enterprise Security Solution,Firewall Solution,Approval in Process,Completed,18-Jan-24," PKR 4,599,650.00 "," PKR 3,407,148.00 "," PKR 1,192,502.00 ",35.00%,Armughan Riaz,Muhammad Aqdas Basharat
11,US Embassy litfiber solution,Litfiber Solution,N/A,Completed,13-Dec-23," PKR 708,000.00 "," PKR 650,000.00 "," PKR 58,000.00 ",8.92%,Armughan Riaz,Hammad Rafiq
12,NBPG PPRA Training 2,Support Services,N/A,Completed,23-Nov-23," PKR 54,000.00 "," PKR 10,000.00 "," PKR 44,000.00 ",440.00%,Armughan Riaz,Bilal Jaffery
13,Swiss Embassy,Support Services,N/A,Completed,15-Nov-23," PKR 150,350.00 "," PKR 115,000.00 "," PKR 35,350.00 ",30.74%,Ahmed Tahir,Bilal Jaffery
14,TDEA FAFEN,Enterprise Solution,N/A,Completed,16-Jan-24," PKR 3,015,000.00 "," PKR 2,079,310.00 "," PKR 935,690.00 ",45.00%,-,-
