,s.no,projects,description,previous_status,status,otc,ntl_cost,profit,margin,salesperson/lead_generation,msd_team
0,1,MerfISB,Enterprise Network Solution,Approval in Process,Approval in Process,73090.0,50200.0,22890.0,0.456,Haroon,Syed Sibtul Hassan
1,2,CDA Facilitation Centre,Managed Surveillance Solution,Approval in Process,Approval in Process,70810.0,45650.0,25160.0,0.5512,Atisam,Syed Sibtul Hassan
2,3,Hanifrajput,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Project Cancelled),291720.0,205200.0,86520.0,0.4216,Mubashir Hanif,Ahmed Rafiq
3,4,Drhumayung8 & Drhumayunf6,Enterprise Network Solution,Approval in Process,Work in progress,862188.0,635880.0,226308.0,0.3559,Asghar Niazi,Syed Sibtul Hassan
4,5,Google Event,Enterprise Rental Solution,Approval in Process,Halted (Budget issue - Project Cancelled),385000.0,98806.0,286194.0,2.8965,Waqas Malik,Syed Sibtul Hassan
5,6,HITECH Medical College,Enterprise Network Solution,,Halted (Budget issue - Project Cancelled),3571511.0,1833900.0,558775.0,0.9475,Moeez Ahmed,Syed Umair Ali
6,7,aandscorp,Enterprise Network Solution,,Completed,275125.0,194400.0,80725.0,0.4153,Roa Usama,Habib Ur Rehman
7,8,HashTag Pak-China Event,Enterprise Rental Solution,,Halted (Budget issue - Project Cancelled),250000.0,92854.0,157146.0,1.6924,Zain Humayun,Syed Sibtul Hassan
8,9,GMS,Enterprise Network Solution,,Approval in Process,657450.0,450200.0,207250.0,0.4604,Mubashir Hanif,Syed Sibtul Hassan
9,10,Abbasyn University CCTV,Enterprise Surveillance Solution,,BOQ in Progress,,,,0.0,Irfan Khan,Syed Sibtul Hassan
10,11,E-Conception,Enterprise Network Solution,,BOQ in Progress,,,,0.0,Mubashir Hanif,Syed Sibtul Hassan
11,12,Shah Allah Ditta St 1 CCTV,Enterprise Surveillance Solution,,BOQ in Progress,,,,0.0,-,Syed Sibtul Hassan
12,13,POF Hospital,Enterprise Network Solution,Approval in Process,Approval in Process,26976902.0,18998344.0,7978558.0,0.42,Moueez Ahmed,Hammad Rafiq
13,14,Bahria Spring north Phase 7,CCTV Surveillance Solution,Approval in Process,Halted (Budget issue - Project Cancelled),4044230.0,2847826.0,1196404.0,0.4201,Moueez,Muhammad Aqdas Basharat
14,15,Hayatabad Medical Complex Peshawar,Enterprise Network Solution,Approval in Process,Halted (Project Cancelled),5598450.0,4147000.0,1451450.0,0.35,Omar Tawab,Muhammad Aqdas Basharat
15,16,WIFI MESH for FPCDLRWP,Enterprise Network Solution,Approval in Process,Approval in Process,476550.0,334250.0,142300.0,0.4257,Niazi,Bilal Jafery
16,17,USEFP,Enterprise Network Solution,Approval in Process,Approval in Process,100236445.0,79038487.0,21197958.0,0.2682,Haroon,Hammad Rafiq
17,18,dopasifoundation57,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Project Cancelled),516220.0,363400.0,152820.0,0.4205,Qaisar Mahmood,Aqdas Basharat
18,19,Centaurus Video Conferencing,Enterprise Video Conferencing Solution,Approval in Process,Approval in Process,978000.0,815000.0,163000.0,0.2,Zain Humayun,Muhammad Aqdas Basharat
19,20,E-11 Call Center,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Switched to STD Solution),448990.0,308550.0,140440.0,0.4552,Waqas Malik,Muhammad Aqdas Basharat
20,21,Volta F8,Nwatch and Voice solution,Approval in Process,Approval in Process,327136.0,213305.0,113831.0,0.5337,Haroon Ashraf,Rehan Rauf
21,22,Bilquis College WIFI Requirement,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Switched to STD Solution),1068055.0,756300.0,311755.0,0.4122,Rao Usama,Bilal Jafery
22,23,SDPI Pak China (Rental),Enterprise Network Solution,Approval in Process,Completed,700000.0,430000.0,270000.0,0.6279,Haroon Ashraf,Bilal Jafery
23,24,Tkxel Firewall Requirement,Enterprise Network Solution,Approval in Process,Halted (Budget issue - Switched to other vendor),6196090.0,4707262.0,1488828.0,0.3163,,Bilal Jafery
